FAIL	./app/scripts/main.js (51)
./app/scripts/main.js:2:3	Expected 'use strict' at column 5, not column 3.
./app/scripts/main.js:4:3	Expected 'require' at column 5, not column 3.
./app/scripts/main.js:5:5	Expected 'baseUrl' at column 9, not column 5.
./app/scripts/main.js:7:5	Expected 'paths' at column 9, not column 5.
./app/scripts/main.js:8:7	Expected 'jquery' at column 13, not column 7.
./app/scripts/main.js:9:7	Expected 'underscore' at column 13, not column 7.
./app/scripts/main.js:10:7	Expected 'pixi' at column 13, not column 7.
./app/scripts/main.js:11:7	Expected 'keyboard' at column 13, not column 7.
./app/scripts/main.js:13:7	Expected 'minivents' at column 13, not column 7.
./app/scripts/main.js:15:7	Expected 'archerElement' at column 13, not column 7.
./app/scripts/main.js:16:7	Expected 'arrowElement' at column 13, not column 7.
./app/scripts/main.js:17:7	Expected 'mapElement' at column 13, not column 7.
./app/scripts/main.js:19:7	Expected 'archerModels' at column 13, not column 7.
./app/scripts/main.js:20:7	Expected 'twilightSpireMapModels' at column 13, not column 7.
./app/scripts/main.js:22:7	Expected 'archerView' at column 13, not column 7.
./app/scripts/main.js:23:7	Expected 'arrowView' at column 13, not column 7.
./app/scripts/main.js:24:7	Expected 'twilightSpireMapView' at column 13, not column 7.
./app/scripts/main.js:26:7	Expected 'utils' at column 13, not column 7.
./app/scripts/main.js:27:7	Expected 'field' at column 13, not column 7.
./app/scripts/main.js:28:7	Expected 'game' at column 13, not column 7.
./app/scripts/main.js:29:7	Expected 'renderers' at column 13, not column 7.
./app/scripts/main.js:31:7	Expected 'keyboardMapper' at column 13, not column 7.
./app/scripts/main.js:32:7	Expected 'keyboardMappings' at column 13, not column 7.
./app/scripts/main.js:33:7	Expected 'virtualGamePad' at column 13, not column 7.
./app/scripts/main.js:35:7	Expected 'behaviors' at column 13, not column 7.
./app/scripts/main.js:36:7	Expected 'bodies' at column 13, not column 7.
./app/scripts/main.js:37:7	Expected 'bounds' at column 13, not column 7.
./app/scripts/main.js:38:7	Expected 'worldHelper' at column 13, not column 7.
./app/scripts/main.js:40:7	Expected 'spriteCache' at column 13, not column 7.
./app/scripts/main.js:41:5	Expected '}' at column 9, not column 5.
./app/scripts/main.js:43:5	Expected 'packages' at column 9, not column 5.
./app/scripts/main.js:44:7	Expected 'name' at column 13, not column 7.
./app/scripts/main.js:45:7	Expected 'location' at column 13, not column 7.
./app/scripts/main.js:46:7	Expected 'main' at column 13, not column 7.
./app/scripts/main.js:47:5	Expected '}' at column 9, not column 5.
./app/scripts/main.js:49:5	Expected 'shim' at column 9, not column 5.
./app/scripts/main.js:50:7	Expected 'jquery' at column 13, not column 7.
./app/scripts/main.js:51:9	Expected 'exports' at column 17, not column 9.
./app/scripts/main.js:52:7	Expected '}' at column 13, not column 7.
./app/scripts/main.js:53:7	Expected 'underscore' at column 13, not column 7.
./app/scripts/main.js:54:9	Expected 'exports' at column 17, not column 9.
./app/scripts/main.js:55:7	Expected '}' at column 13, not column 7.
./app/scripts/main.js:56:7	Expected 'pixi' at column 13, not column 7.
./app/scripts/main.js:57:9	Expected 'exports' at column 17, not column 9.
./app/scripts/main.js:58:7	Expected '}' at column 13, not column 7.
./app/scripts/main.js:59:7	Expected 'minivents' at column 13, not column 7.
./app/scripts/main.js:60:9	Expected 'exports' at column 17, not column 9.
./app/scripts/main.js:61:7	Expected '}' at column 13, not column 7.
./app/scripts/main.js:62:5	Expected '}' at column 9, not column 5.
./app/scripts/main.js:63:3	Expected '}' at column 5, not column 3.
./app/scripts/main.js:63:3	Too many errors. (67% scanned).
FAIL	./app/scripts/modules/core/elements/Archer.js (51)
./app/scripts/modules/core/elements/Archer.js:2:3	Expected 'use strict' at column 5, not column 3.
./app/scripts/modules/core/elements/Archer.js:4:3	Expected 'var' at column 5, not column 3.
./app/scripts/modules/core/elements/Archer.js:5:3	Expected 'var' at column 5, not column 3.
./app/scripts/modules/core/elements/Archer.js:5:7	Combine this with the previous 'var' statement.
./app/scripts/modules/core/elements/Archer.js:6:3	Expected 'var' at column 5, not column 3.
./app/scripts/modules/core/elements/Archer.js:6:7	Combine this with the previous 'var' statement.
./app/scripts/modules/core/elements/Archer.js:7:3	Expected 'var' at column 5, not column 3.
./app/scripts/modules/core/elements/Archer.js:7:7	Combine this with the previous 'var' statement.
./app/scripts/modules/core/elements/Archer.js:8:3	Expected 'var' at column 5, not column 3.
./app/scripts/modules/core/elements/Archer.js:8:7	Combine this with the previous 'var' statement.
./app/scripts/modules/core/elements/Archer.js:9:3	Expected 'var' at column 5, not column 3.
./app/scripts/modules/core/elements/Archer.js:9:7	Combine this with the previous 'var' statement.
./app/scripts/modules/core/elements/Archer.js:10:3	Expected 'var' at column 5, not column 3.
./app/scripts/modules/core/elements/Archer.js:10:7	Combine this with the previous 'var' statement.
./app/scripts/modules/core/elements/Archer.js:11:3	Expected 'var' at column 5, not column 3.
./app/scripts/modules/core/elements/Archer.js:11:7	Combine this with the previous 'var' statement.
./app/scripts/modules/core/elements/Archer.js:12:3	Expected 'var' at column 5, not column 3.
./app/scripts/modules/core/elements/Archer.js:12:7	Combine this with the previous 'var' statement.
./app/scripts/modules/core/elements/Archer.js:20:3	Expected 'var' at column 5, not column 3.
./app/scripts/modules/core/elements/Archer.js:20:7	Combine this with the previous 'var' statement.
./app/scripts/modules/core/elements/Archer.js:21:5	Expected 'this' at column 13, not column 5.
./app/scripts/modules/core/elements/Archer.js:22:5	Expected 'this' at column 13, not column 5.
./app/scripts/modules/core/elements/Archer.js:23:5	Expected 'this' at column 13, not column 5.
./app/scripts/modules/core/elements/Archer.js:25:5	Expected 'var' at column 13, not column 5.
./app/scripts/modules/core/elements/Archer.js:26:5	Expected 'var' at column 13, not column 5.
./app/scripts/modules/core/elements/Archer.js:26:9	Combine this with the previous 'var' statement.
./app/scripts/modules/core/elements/Archer.js:28:5	Expected 'var' at column 13, not column 5.
./app/scripts/modules/core/elements/Archer.js:28:9	Combine this with the previous 'var' statement.
./app/scripts/modules/core/elements/Archer.js:29:7	Expected 'height' at column 21, not column 7.
./app/scripts/modules/core/elements/Archer.js:30:7	Expected 'width' at column 21, not column 7.
./app/scripts/modules/core/elements/Archer.js:32:7	Expected 'collect' at column 21, not column 7.
./app/scripts/modules/core/elements/Archer.js:33:7	Expected 'isHit' at column 21, not column 7.
./app/scripts/modules/core/elements/Archer.js:35:7	Expected 'isInTheAir' at column 21, not column 7.
./app/scripts/modules/core/elements/Archer.js:36:7	Expected 'isFalling' at column 21, not column 7.
./app/scripts/modules/core/elements/Archer.js:37:7	Expected 'isJumping' at column 21, not column 7.
./app/scripts/modules/core/elements/Archer.js:38:7	Expected 'isDrawing' at column 21, not column 7.
./app/scripts/modules/core/elements/Archer.js:39:5	Expected '}' at column 17, not column 5.
./app/scripts/modules/core/elements/Archer.js:40:5	Expected 'params' at column 13, not column 5.
./app/scripts/modules/core/elements/Archer.js:41:5	Expected 'this' at column 13, not column 5.
./app/scripts/modules/core/elements/Archer.js:43:5	Expected 'this' at column 13, not column 5.
./app/scripts/modules/core/elements/Archer.js:45:5	Expected 'this' at column 13, not column 5.
./app/scripts/modules/core/elements/Archer.js:47:5	Expected 'this' at column 13, not column 5.
./app/scripts/modules/core/elements/Archer.js:48:5	Expected 'this' at column 13, not column 5.
./app/scripts/modules/core/elements/Archer.js:49:7	Expected 'Behaviors' at column 17, not column 7.
./app/scripts/modules/core/elements/Archer.js:50:7	Expected 'Behaviors' at column 17, not column 7.
./app/scripts/modules/core/elements/Archer.js:51:7	Expected 'Behaviors' at column 17, not column 7.
./app/scripts/modules/core/elements/Archer.js:52:7	Expected 'Behaviors' at column 17, not column 7.
./app/scripts/modules/core/elements/Archer.js:53:7	Expected 'Behaviors' at column 17, not column 7.
./app/scripts/modules/core/elements/Archer.js:54:7	Expected 'Behaviors' at column 17, not column 7.
./app/scripts/modules/core/elements/Archer.js:55:7	Expected 'Behaviors' at column 17, not column 7.
./app/scripts/modules/core/elements/Archer.js:55:7	Too many errors. (24% scanned).
FAIL	./app/scripts/modules/core/elements/Arrow.js (51)
./app/scripts/modules/core/elements/Arrow.js:2:3	Expected 'use strict' at column 5, not column 3.
./app/scripts/modules/core/elements/Arrow.js:4:3	Expected 'var' at column 5, not column 3.
./app/scripts/modules/core/elements/Arrow.js:5:3	Expected 'var' at column 5, not column 3.
./app/scripts/modules/core/elements/Arrow.js:5:7	Combine this with the previous 'var' statement.
./app/scripts/modules/core/elements/Arrow.js:6:3	Expected 'var' at column 5, not column 3.
./app/scripts/modules/core/elements/Arrow.js:6:7	Combine this with the previous 'var' statement.
./app/scripts/modules/core/elements/Arrow.js:7:3	Expected 'var' at column 5, not column 3.
./app/scripts/modules/core/elements/Arrow.js:7:7	Combine this with the previous 'var' statement.
./app/scripts/modules/core/elements/Arrow.js:8:3	Expected 'var' at column 5, not column 3.
./app/scripts/modules/core/elements/Arrow.js:8:7	Combine this with the previous 'var' statement.
./app/scripts/modules/core/elements/Arrow.js:9:3	Expected 'var' at column 5, not column 3.
./app/scripts/modules/core/elements/Arrow.js:9:7	Combine this with the previous 'var' statement.
./app/scripts/modules/core/elements/Arrow.js:10:3	Expected 'var' at column 5, not column 3.
./app/scripts/modules/core/elements/Arrow.js:10:7	Combine this with the previous 'var' statement.
./app/scripts/modules/core/elements/Arrow.js:11:3	Expected 'var' at column 5, not column 3.
./app/scripts/modules/core/elements/Arrow.js:11:7	Combine this with the previous 'var' statement.
./app/scripts/modules/core/elements/Arrow.js:17:3	Expected 'var' at column 5, not column 3.
./app/scripts/modules/core/elements/Arrow.js:17:7	Combine this with the previous 'var' statement.
./app/scripts/modules/core/elements/Arrow.js:18:5	Expected 'this' at column 13, not column 5.
./app/scripts/modules/core/elements/Arrow.js:20:5	Expected 'var' at column 13, not column 5.
./app/scripts/modules/core/elements/Arrow.js:21:7	Expected 'width' at column 21, not column 7.
./app/scripts/modules/core/elements/Arrow.js:22:7	Expected 'height' at column 21, not column 7.
./app/scripts/modules/core/elements/Arrow.js:24:7	Expected 'collected' at column 21, not column 7.
